area_label,naics_custom,naics_custom_label,measure,yr,lvl,gyy,dyy,hover_label
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2015,1549895,0.029524785661667163,44448,"Seattle MD<br>2015: 1 549.9k, 3.0%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2016,1598563,0.03140083683088202,48668,"Seattle MD<br>2016: 1 598.6k, 3.1%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2017,1639741,0.02575938514778575,41178,"Seattle MD<br>2017: 1 639.7k, 2.6%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2018,1680912,0.02510823355639702,41171,"Seattle MD<br>2018: 1 680.9k, 2.5%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2019,1725139,0.0263113119544629,44227,"Seattle MD<br>2019: 1 725.1k, 2.6%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2020,1624152,-0.05853847139273993,-100987,"Seattle MD<br>2020: 1 624.2k, -5.9%"
Seattle MD,TTL,Total Nonfarm,Average Annual Employment,2021,1653836,0.01827661450406115,29684,"Seattle MD<br>2021: 1 653.8k, 1.8%"
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2002,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2003,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2004,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2005,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2006,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2007,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2008,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2009,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2010,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2011,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2012,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2013,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2014,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2015,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2016,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2017,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2018,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2019,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2020,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Mar Employment,2021,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2002,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2003,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2004,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2005,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2006,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2007,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2008,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2009,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2010,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2011,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2012,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2013,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2014,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2015,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2016,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2017,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2018,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2019,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2020,NA,NA,NA,NA
Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2021,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2002,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2003,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2004,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2005,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2006,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2007,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2008,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2009,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2010,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2011,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2012,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2013,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2014,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2015,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2016,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2017,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2018,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2019,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2020,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Mar Employment,2021,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2002,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2003,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2004,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2005,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2006,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2007,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2008,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2009,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2010,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2011,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2012,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2013,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2014,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2015,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2016,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2017,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2018,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2019,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2020,NA,NA,NA,NA
Seattle MD,"48-49,22","Transportation, Warehousing and Utilities",Average Annual Employment,2021,NA,NA,NA,NA
Seattle MD,23,Construction,Mar Employment,2002,67610,NA,NA,NA
Seattle MD,23,Construction,Mar Employment,2003,65190,-0.035793521668392225,-2420,"Seattle MD<br>2003: 65.2k, -3.6%"
Seattle MD,23,Construction,Mar Employment,2004,68622,0.052646111366773995,3432,"Seattle MD<br>2004: 68.6k, 5.3%"
Seattle MD,23,Construction,Mar Employment,2005,72462,0.05595873043630317,3840,"Seattle MD<br>2005: 72.5k, 5.6%"
Seattle MD,23,Construction,Mar Employment,2006,81564,0.12561066490022355,9102,"Seattle MD<br>2006: 81.6k, 12.6%"
Seattle MD,23,Construction,Mar Employment,2007,90293,0.10702025403364224,8729,"Seattle MD<br>2007: 90.3k, 10.7%"
Seattle MD,23,Construction,Mar Employment,2008,91418,0.012459437608673962,1125,"Seattle MD<br>2008: 91.4k, 1.2%"
Seattle MD,23,Construction,Mar Employment,2009,73129,-0.20005906932989126,-18289,"Seattle MD<br>2009: 73.1k, -20.0%"
Seattle MD,23,Construction,Mar Employment,2010,59543,-0.18578129059606996,-13586,"Seattle MD<br>2010: 59.5k, -18.6%"
Seattle MD,23,Construction,Mar Employment,2011,56486,-0.05134104764623881,-3057,"Seattle MD<br>2011: 56.5k, -5.1%"
Seattle MD,23,Construction,Mar Employment,2012,57927,0.025510746025563913,1441,"Seattle MD<br>2012: 57.9k, 2.6%"
Seattle MD,23,Construction,Mar Employment,2013,64632,0.11574913252887264,6705,"Seattle MD<br>2013: 64.6k, 11.6%"
Seattle MD,23,Construction,Mar Employment,2014,69786,0.07974378017081318,5154,"Seattle MD<br>2014: 69.8k, 8.0%"
Seattle MD,23,Construction,Mar Employment,2015,79135,0.13396669819161433,9349,"Seattle MD<br>2015: 79.1k, 13.4%"
Seattle MD,23,Construction,Mar Employment,2016,84780,0.07133379667656525,5645,"Seattle MD<br>2016: 84.8k, 7.1%"
Seattle MD,23,Construction,Mar Employment,2017,90116,0.06293937249351256,5336,"Seattle MD<br>2017: 90.1k, 6.3%"
Seattle MD,23,Construction,Mar Employment,2018,94672,0.050557059789604564,4556,"Seattle MD<br>2018: 94.7k, 5.1%"
Seattle MD,23,Construction,Mar Employment,2019,97375,0.02855120838262626,2703,"Seattle MD<br>2019: 97.4k, 2.9%"
Seattle MD,23,Construction,Mar Employment,2020,98723,0.013843388960205427,1348,"Seattle MD<br>2020: 98.7k, 1.4%"
Seattle MD,23,Construction,Mar Employment,2021,97922,-0.008113610810044247,-801,"Seattle MD<br>2021: 97.9k, -0.8%"
Seattle MD,23,Construction,Average Annual Employment,2002,70490,NA,NA,NA
Seattle MD,23,Construction,Average Annual Employment,2003,69053,-0.02038587033621786,-1437,"Seattle MD<br>2003: 69.1k, -2.0%"
Seattle MD,23,Construction,Average Annual Employment,2004,71581,0.0366095607721606,2528,"Seattle MD<br>2004: 71.6k, 3.7%"
Seattle MD,23,Construction,Average Annual Employment,2005,77521,0.08298291446054118,5940,"Seattle MD<br>2005: 77.5k, 8.3%"
Seattle MD,23,Construction,Average Annual Employment,2006,86294,0.11316933476090352,8773,"Seattle MD<br>2006: 86.3k, 11.3%"
Seattle MD,23,Construction,Average Annual Employment,2007,94032.16666666666,0.08967212861458096,7738.166666666657,"Seattle MD<br>2007: 94.0k, 9.0%"
Seattle MD,23,Construction,Average Annual Employment,2008,90641.08333333334,-0.03606301389772626,-3391.083333333314,"Seattle MD<br>2008: 90.6k, -3.6%"
Seattle MD,23,Construction,Average Annual Employment,2009,70845,-0.2184007803672544,-19796.083333333343,"Seattle MD<br>2009: 70.8k, -21.8%"
Seattle MD,23,Construction,Average Annual Employment,2010,61529,-0.13149834144964356,-9316,"Seattle MD<br>2010: 61.5k, -13.1%"
Seattle MD,23,Construction,Average Annual Employment,2011,59730,-0.029238245380227235,-1799,"Seattle MD<br>2011: 59.7k, -2.9%"
Seattle MD,23,Construction,Average Annual Employment,2012,62394,0.04460070316423903,2664,"Seattle MD<br>2012: 62.4k, 4.5%"
Seattle MD,23,Construction,Average Annual Employment,2013,68362,0.0956502227778313,5968,"Seattle MD<br>2013: 68.4k, 9.6%"
Seattle MD,23,Construction,Average Annual Employment,2014,74305,0.08693426172434982,5943,"Seattle MD<br>2014: 74.3k, 8.7%"
Seattle MD,23,Construction,Average Annual Employment,2015,82273,0.1072336989435434,7968,"Seattle MD<br>2015: 82.3k, 10.7%"
Seattle MD,23,Construction,Average Annual Employment,2016,88006,0.0696826419359935,5733,"Seattle MD<br>2016: 88.0k, 7.0%"
Seattle MD,23,Construction,Average Annual Employment,2017,92333,0.04916710224302889,4327,"Seattle MD<br>2017: 92.3k, 4.9%"
Seattle MD,23,Construction,Average Annual Employment,2018,97508,0.056047133744165034,5175,"Seattle MD<br>2018: 97.5k, 5.6%"
Seattle MD,23,Construction,Average Annual Employment,2019,98873,0.013998851376297416,1365,"Seattle MD<br>2019: 98.9k, 1.4%"
Seattle MD,23,Construction,Average Annual Employment,2020,95215,-0.03699695569063344,-3658,"Seattle MD<br>2020: 95.2k, -3.7%"
Seattle MD,23,Construction,Average Annual Employment,2021,99855,0.048731817465735405,4640,"Seattle MD<br>2021: 99.9k, 4.9%"
Seattle MD,31-33,Manufacturing,Mar Employment,2002,165768,NA,NA,NA
Seattle MD,31-33,Manufacturing,Mar Employment,2003,149513,-0.09805873268664644,-16255,"Seattle MD<br>2003: 149.5k, -9.8%"
Seattle MD,31-33,Manufacturing,Mar Employment,2004,142208,-0.048858627677860755,-7305,"Seattle MD<br>2004: 142.2k, -4.9%"
Seattle MD,31-33,Manufacturing,Mar Employment,2005,147637,0.03817647389738976,5429,"Seattle MD<br>2005: 147.6k, 3.8%"
Seattle MD,31-33,Manufacturing,Mar Employment,2006,156399,0.05934826635599477,8762,"Seattle MD<br>2006: 156.4k, 5.9%"
Seattle MD,31-33,Manufacturing,Mar Employment,2007,162828,0.04110640093606732,6429,"Seattle MD<br>2007: 162.8k, 4.1%"
Seattle MD,31-33,Manufacturing,Mar Employment,2008,168049,0.032064509789471174,5221,"Seattle MD<br>2008: 168.0k, 3.2%"
Seattle MD,31-33,Manufacturing,Mar Employment,2009,157454,-0.06304708745663468,-10595,"Seattle MD<br>2009: 157.5k, -6.3%"
Seattle MD,31-33,Manufacturing,Mar Employment,2010,148126,-0.059242699455078984,-9328,"Seattle MD<br>2010: 148.1k, -5.9%"
Seattle MD,31-33,Manufacturing,Mar Employment,2011,153233,0.03447740437195357,5107,"Seattle MD<br>2011: 153.2k, 3.4%"
Seattle MD,31-33,Manufacturing,Mar Employment,2012,163476,0.06684591439180854,10243,"Seattle MD<br>2012: 163.5k, 6.7%"
Seattle MD,31-33,Manufacturing,Mar Employment,2013,169208,0.035063250874746155,5732,"Seattle MD<br>2013: 169.2k, 3.5%"
Seattle MD,31-33,Manufacturing,Mar Employment,2014,168010,-0.00708004349676139,-1198,"Seattle MD<br>2014: 168.0k, -0.7%"
Seattle MD,31-33,Manufacturing,Mar Employment,2015,169923,0.011386227010296901,1913,"Seattle MD<br>2015: 169.9k, 1.1%"
Seattle MD,31-33,Manufacturing,Mar Employment,2016,168595,-0.007815304579132931,-1328,"Seattle MD<br>2016: 168.6k, -0.8%"
Seattle MD,31-33,Manufacturing,Mar Employment,2017,161829,-0.04013167650286187,-6766,"Seattle MD<br>2017: 161.8k, -4.0%"
Seattle MD,31-33,Manufacturing,Mar Employment,2018,158965,-0.017697693244103307,-2864,"Seattle MD<br>2018: 159.0k, -1.8%"
Seattle MD,31-33,Manufacturing,Mar Employment,2019,165611,0.04180794514515784,6646,"Seattle MD<br>2019: 165.6k, 4.2%"
Seattle MD,31-33,Manufacturing,Mar Employment,2020,162862,-0.016599138946084446,-2749,"Seattle MD<br>2020: 162.9k, -1.7%"
Seattle MD,31-33,Manufacturing,Mar Employment,2021,137951,-0.15295771880487774,-24911,"Seattle MD<br>2021: 138.0k, -15.3%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2002,162224,NA,NA,NA
Seattle MD,31-33,Manufacturing,Average Annual Employment,2003,146942,-0.09420307722655097,-15282,"Seattle MD<br>2003: 146.9k, -9.4%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2004,143408,-0.024050305562739016,-3534,"Seattle MD<br>2004: 143.4k, -2.4%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2005,149552,0.04284279817025549,6144,"Seattle MD<br>2005: 149.6k, 4.3%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2006,159107,0.06389082058414464,9555,"Seattle MD<br>2006: 159.1k, 6.4%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2007,165358.41666666666,0.03929064507951674,6251.416666666657,"Seattle MD<br>2007: 165.4k, 3.9%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2008,165838.08333333334,0.0029007695909040176,479.66666666668607,"Seattle MD<br>2008: 165.8k, 0.3%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2009,154638,-0.06753625649918571,-11200.083333333343,"Seattle MD<br>2009: 154.6k, -6.8%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2010,149472,-0.03340705389360954,-5166,"Seattle MD<br>2010: 149.5k, -3.3%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2011,157500,0.05370905587668595,8028,"Seattle MD<br>2011: 157.5k, 5.4%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2012,166226,0.055403174603174676,8726,"Seattle MD<br>2012: 166.2k, 5.5%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2013,169402,0.019106517632620612,3176,"Seattle MD<br>2013: 169.4k, 1.9%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2014,168878,-0.0030932338461174824,-524,"Seattle MD<br>2014: 168.9k, -0.3%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2015,169837,0.00567865559753189,959,"Seattle MD<br>2015: 169.8k, 0.6%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2016,167257,-0.015191036111094736,-2580,"Seattle MD<br>2016: 167.3k, -1.5%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2017,160519,-0.040285309433984784,-6738,"Seattle MD<br>2017: 160.5k, -4.0%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2018,160610,5.669110821771017e-4,91,"Seattle MD<br>2018: 160.6k, 0.1%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2019,165878,0.032799950189901006,5268,"Seattle MD<br>2019: 165.9k, 3.3%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2020,151262,-0.08811295048167933,-14616,"Seattle MD<br>2020: 151.3k, -8.8%"
Seattle MD,31-33,Manufacturing,Average Annual Employment,2021,138079,-0.08715341592733139,-13183,"Seattle MD<br>2021: 138.1k, -8.7%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2002,203107,NA,NA,NA
Seattle MD,"42, 44-45",Trade,Mar Employment,2003,200146,-0.014578522650622538,-2961,"Seattle MD<br>2003: 200.1k, -1.5%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2004,200320,8.693653632847465e-4,174,"Seattle MD<br>2004: 200.3k, 0.1%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2005,202247,0.00961960862619815,1927,"Seattle MD<br>2005: 202.2k, 1.0%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2006,205495,0.01605957072292785,3248,"Seattle MD<br>2006: 205.5k, 1.6%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2007,209403,0.019017494342927987,3908,"Seattle MD<br>2007: 209.4k, 1.9%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2008,214070,0.022287168760714904,4667,"Seattle MD<br>2008: 214.1k, 2.2%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2009,201450,-0.05895267903022372,-12620,"Seattle MD<br>2009: 201.4k, -5.9%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2010,195438,-0.029843633655994073,-6012,"Seattle MD<br>2010: 195.4k, -3.0%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2011,198345,0.014874282381113213,2907,"Seattle MD<br>2011: 198.3k, 1.5%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2012,203851,0.027759711613602578,5506,"Seattle MD<br>2012: 203.9k, 2.8%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2013,212155,0.04073563534149938,8304,"Seattle MD<br>2013: 212.2k, 4.1%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2014,221854,0.0457165751455304,9699,"Seattle MD<br>2014: 221.9k, 4.6%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2015,230350,0.038295455569879344,8496,"Seattle MD<br>2015: 230.4k, 3.8%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2016,236800,0.028000868243976518,6450,"Seattle MD<br>2016: 236.8k, 2.8%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2017,249023,0.05161739864864856,12223,"Seattle MD<br>2017: 249.0k, 5.2%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2018,257909,0.035683450926219606,8886,"Seattle MD<br>2018: 257.9k, 3.6%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2019,261548,0.014109627814461678,3639,"Seattle MD<br>2019: 261.5k, 1.4%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2020,269383,0.02995626041873778,7835,"Seattle MD<br>2020: 269.4k, 3.0%"
Seattle MD,"42, 44-45",Trade,Mar Employment,2021,266848,-0.009410393380428594,-2535,"Seattle MD<br>2021: 266.8k, -0.9%"
Seattle MD,"42, 44-45",Trade,Average Annual Employment,2002,205924,NA,NA,NA
Seattle MD,"42, 44-45",Trade,Average Annual Employment,2003,204092,-0.008896486082243915,-1832,"Seattle MD<br>2003: 204.1k, -0.9%"
Seattle MD,"42, 44-45",Trade,Average Annual Employment,2004,205376,0.006291280402955568,1284,"Seattle MD<br>2004: 205.4k, 0.6%"
Seattle MD,"42, 44-45",Trade,Average Annual Employment,2005,208016,0.012854471798067868,2640,"Seattle MD<br>2005: 208.0k, 1.3%"
