data_source,area_label,naics_custom,naics_custom_label,measure,yr,lvl,gyy,dyy,hover_label
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2014,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2015,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2016,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2017,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2018,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2019,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2020,NA,NA,NA,NA
ESD,Seattle MD,"11, 21",Mining and Logging,Average Annual Employment,2021,NA,NA,NA,NA
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2000,5605,NA,NA,NA
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2001,5622,0.00303300624442459,17,"Seattle MD<br>2001: 5.6k, 0.3%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2002,4980,-0.11419423692636076,-642,"Seattle MD<br>2002: 5.0k, -11.4%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2003,4747,-0.04678714859437749,-233,"Seattle MD<br>2003: 4.7k, -4.7%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2004,4784,0.00779439646092261,37,"Seattle MD<br>2004: 4.8k, 0.8%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2005,5147,0.07587792642140467,363,"Seattle MD<br>2005: 5.1k, 7.6%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2006,4474,-0.13075578006605793,-673,"Seattle MD<br>2006: 4.5k, -13.1%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2007,4408,-0.01475189986589187,-66,"Seattle MD<br>2007: 4.4k, -1.5%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2008,4359,-0.01111615245009078,-49,"Seattle MD<br>2008: 4.4k, -1.1%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2009,3757,-0.13810506997017669,-602,"Seattle MD<br>2009: 3.8k, -13.8%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2010,3802,0.01197764173542714,45,"Seattle MD<br>2010: 3.8k, 1.2%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2011,3567,-0.06180957390846919,-235,"Seattle MD<br>2011: 3.6k, -6.2%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2012,3733,0.04653770675637792,166,"Seattle MD<br>2012: 3.7k, 4.7%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2013,3540,-0.05170104473613712,-193,"Seattle MD<br>2013: 3.5k, -5.2%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2014,3507,-0.0093220338983051,-33,"Seattle MD<br>2014: 3.5k, -0.9%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2015,3663,0.04448246364414032,156,"Seattle MD<br>2015: 3.7k, 4.4%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2016,4196,0.1455091455091455,533,"Seattle MD<br>2016: 4.2k, 14.6%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2017,4375,0.04265967588179209,179,"Seattle MD<br>2017: 4.4k, 4.3%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2018,4513,0.03154285714285709,138,"Seattle MD<br>2018: 4.5k, 3.2%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2019,4247,-0.05894083758032353,-266,"Seattle MD<br>2019: 4.2k, -5.9%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2020,4253,0.0014127619496115901,6,"Seattle MD<br>2020: 4.3k, 0.1%"
PSRC,Seattle MD,"11, 21",Mining and Logging,Mar Employment,2021,4403,0.03526922172584057,150,"Seattle MD<br>2021: 4.4k, 3.5%"
ESD,Seattle MD,23,Construction,Mar Employment,2002,67610,NA,NA,NA
ESD,Seattle MD,23,Construction,Mar Employment,2003,65190,-0.03579352166839222,-2420,"Seattle MD<br>2003: 65.2k, -3.6%"
ESD,Seattle MD,23,Construction,Mar Employment,2004,68622,0.05264611136677399,3432,"Seattle MD<br>2004: 68.6k, 5.3%"
ESD,Seattle MD,23,Construction,Mar Employment,2005,72462,0.05595873043630317,3840,"Seattle MD<br>2005: 72.5k, 5.6%"
ESD,Seattle MD,23,Construction,Mar Employment,2006,81564,0.12561066490022357,9102,"Seattle MD<br>2006: 81.6k, 12.6%"
ESD,Seattle MD,23,Construction,Mar Employment,2007,90293,0.10702025403364224,8729,"Seattle MD<br>2007: 90.3k, 10.7%"
ESD,Seattle MD,23,Construction,Mar Employment,2008,91418,0.01245943760867396,1125,"Seattle MD<br>2008: 91.4k, 1.2%"
ESD,Seattle MD,23,Construction,Mar Employment,2009,73129,-0.2000590693298913,-18289,"Seattle MD<br>2009: 73.1k, -20.0%"
ESD,Seattle MD,23,Construction,Mar Employment,2010,59543,-0.18578129059606996,-13586,"Seattle MD<br>2010: 59.5k, -18.6%"
ESD,Seattle MD,23,Construction,Mar Employment,2011,56486,-0.05134104764623881,-3057,"Seattle MD<br>2011: 56.5k, -5.1%"
ESD,Seattle MD,23,Construction,Mar Employment,2012,57927,0.02551074602556391,1441,"Seattle MD<br>2012: 57.9k, 2.6%"
ESD,Seattle MD,23,Construction,Mar Employment,2013,64632,0.11574913252887264,6705,"Seattle MD<br>2013: 64.6k, 11.6%"
ESD,Seattle MD,23,Construction,Mar Employment,2014,69786,0.07974378017081318,5154,"Seattle MD<br>2014: 69.8k, 8.0%"
ESD,Seattle MD,23,Construction,Mar Employment,2015,79135,0.13396669819161433,9349,"Seattle MD<br>2015: 79.1k, 13.4%"
ESD,Seattle MD,23,Construction,Mar Employment,2016,84780,0.07133379667656525,5645,"Seattle MD<br>2016: 84.8k, 7.1%"
ESD,Seattle MD,23,Construction,Mar Employment,2017,90116,0.06293937249351256,5336,"Seattle MD<br>2017: 90.1k, 6.3%"
ESD,Seattle MD,23,Construction,Mar Employment,2018,94672,0.05055705978960456,4556,"Seattle MD<br>2018: 94.7k, 5.1%"
ESD,Seattle MD,23,Construction,Mar Employment,2019,97375,0.02855120838262626,2703,"Seattle MD<br>2019: 97.4k, 2.9%"
ESD,Seattle MD,23,Construction,Mar Employment,2020,98723,0.01384338896020542,1348,"Seattle MD<br>2020: 98.7k, 1.4%"
ESD,Seattle MD,23,Construction,Mar Employment,2021,97922,-0.00811361081004424,-801,"Seattle MD<br>2021: 97.9k, -0.8%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2002,70490,NA,NA,NA
ESD,Seattle MD,23,Construction,Average Annual Employment,2003,69053,-0.02038587033621786,-1437,"Seattle MD<br>2003: 69.1k, -2.0%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2004,71581,0.0366095607721606,2528,"Seattle MD<br>2004: 71.6k, 3.7%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2005,77521,0.08298291446054118,5940,"Seattle MD<br>2005: 77.5k, 8.3%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2006,86294,0.11316933476090352,8773,"Seattle MD<br>2006: 86.3k, 11.3%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2007,94032.16666666666,0.08967212861458096,7738.166666666657,"Seattle MD<br>2007: 94.0k, 9.0%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2008,90641.08333333334,-0.03606301389772626,-3391.083333333314,"Seattle MD<br>2008: 90.6k, -3.6%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2009,70845,-0.2184007803672544,-19796.083333333343,"Seattle MD<br>2009: 70.8k, -21.8%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2010,61529,-0.13149834144964356,-9316,"Seattle MD<br>2010: 61.5k, -13.1%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2011,59730,-0.02923824538022723,-1799,"Seattle MD<br>2011: 59.7k, -2.9%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2012,62394,0.04460070316423903,2664,"Seattle MD<br>2012: 62.4k, 4.5%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2013,68362,0.0956502227778313,5968,"Seattle MD<br>2013: 68.4k, 9.6%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2014,74305,0.08693426172434982,5943,"Seattle MD<br>2014: 74.3k, 8.7%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2015,82273,0.1072336989435434,7968,"Seattle MD<br>2015: 82.3k, 10.7%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2016,88006,0.0696826419359935,5733,"Seattle MD<br>2016: 88.0k, 7.0%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2017,92333,0.04916710224302889,4327,"Seattle MD<br>2017: 92.3k, 4.9%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2018,97508,0.05604713374416503,5175,"Seattle MD<br>2018: 97.5k, 5.6%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2019,98873,0.01399885137629741,1365,"Seattle MD<br>2019: 98.9k, 1.4%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2020,95215,-0.03699695569063344,-3658,"Seattle MD<br>2020: 95.2k, -3.7%"
ESD,Seattle MD,23,Construction,Average Annual Employment,2021,99855,0.0487318174657354,4640,"Seattle MD<br>2021: 99.9k, 4.9%"
PSRC,Seattle MD,23,Construction,Mar Employment,2000,75303,NA,NA,NA
PSRC,Seattle MD,23,Construction,Mar Employment,2001,75328,3.319920853086522e-4,25,"Seattle MD<br>2001: 75.3k, 0.0%"
PSRC,Seattle MD,23,Construction,Mar Employment,2002,67513,-0.10374628292268484,-7815,"Seattle MD<br>2002: 67.5k, -10.4%"
PSRC,Seattle MD,23,Construction,Mar Employment,2003,65218,-0.03399345311273383,-2295,"Seattle MD<br>2003: 65.2k, -3.4%"
PSRC,Seattle MD,23,Construction,Mar Employment,2004,68622,0.05219417952099103,3404,"Seattle MD<br>2004: 68.6k, 5.2%"
PSRC,Seattle MD,23,Construction,Mar Employment,2005,73905,0.07698697210807026,5283,"Seattle MD<br>2005: 73.9k, 7.7%"
PSRC,Seattle MD,23,Construction,Mar Employment,2006,81822,0.1071240105540896,7917,"Seattle MD<br>2006: 81.8k, 10.7%"
PSRC,Seattle MD,23,Construction,Mar Employment,2007,90472,0.1057172887487472,8650,"Seattle MD<br>2007: 90.5k, 10.6%"
PSRC,Seattle MD,23,Construction,Mar Employment,2008,91624,0.01273322132814569,1152,"Seattle MD<br>2008: 91.6k, 1.3%"
PSRC,Seattle MD,23,Construction,Mar Employment,2009,73222,-0.20084257399807912,-18402,"Seattle MD<br>2009: 73.2k, -20.1%"
PSRC,Seattle MD,23,Construction,Mar Employment,2010,59597,-0.18607795471306443,-13625,"Seattle MD<br>2010: 59.6k, -18.6%"
PSRC,Seattle MD,23,Construction,Mar Employment,2011,56424,-0.05324093494638993,-3173,"Seattle MD<br>2011: 56.4k, -5.3%"
PSRC,Seattle MD,23,Construction,Mar Employment,2012,57912,0.02637175669927693,1488,"Seattle MD<br>2012: 57.9k, 2.6%"
PSRC,Seattle MD,23,Construction,Mar Employment,2013,64584,0.115209283050145,6672,"Seattle MD<br>2013: 64.6k, 11.5%"
PSRC,Seattle MD,23,Construction,Mar Employment,2014,69587,0.07746500681283286,5003,"Seattle MD<br>2014: 69.6k, 7.7%"
PSRC,Seattle MD,23,Construction,Mar Employment,2015,79178,0.1378274677741531,9591,"Seattle MD<br>2015: 79.2k, 13.8%"
PSRC,Seattle MD,23,Construction,Mar Employment,2016,84785,0.07081512541362489,5607,"Seattle MD<br>2016: 84.8k, 7.1%"
PSRC,Seattle MD,23,Construction,Mar Employment,2017,90128,0.06301822256295342,5343,"Seattle MD<br>2017: 90.1k, 6.3%"
PSRC,Seattle MD,23,Construction,Mar Employment,2018,94671,0.05040608911769917,4543,"Seattle MD<br>2018: 94.7k, 5.0%"
PSRC,Seattle MD,23,Construction,Mar Employment,2019,97531,0.03020988475879615,2860,"Seattle MD<br>2019: 97.5k, 3.0%"
PSRC,Seattle MD,23,Construction,Mar Employment,2020,98928,0.01432365094175192,1397,"Seattle MD<br>2020: 98.9k, 1.4%"
PSRC,Seattle MD,23,Construction,Mar Employment,2021,97963,-0.00975456897945981,-965,"Seattle MD<br>2021: 98.0k, -1.0%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2002,165768,NA,NA,NA
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2003,149513,-0.09805873268664644,-16255,"Seattle MD<br>2003: 149.5k, -9.8%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2004,142208,-0.04885862767786075,-7305,"Seattle MD<br>2004: 142.2k, -4.9%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2005,147637,0.03817647389738976,5429,"Seattle MD<br>2005: 147.6k, 3.8%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2006,156399,0.05934826635599477,8762,"Seattle MD<br>2006: 156.4k, 5.9%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2007,162828,0.04110640093606732,6429,"Seattle MD<br>2007: 162.8k, 4.1%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2008,168049,0.03206450978947117,5221,"Seattle MD<br>2008: 168.0k, 3.2%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2009,157454,-0.06304708745663468,-10595,"Seattle MD<br>2009: 157.5k, -6.3%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2010,148126,-0.05924269945507898,-9328,"Seattle MD<br>2010: 148.1k, -5.9%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2011,153233,0.03447740437195357,5107,"Seattle MD<br>2011: 153.2k, 3.4%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2012,163476,0.06684591439180854,10243,"Seattle MD<br>2012: 163.5k, 6.7%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2013,169208,0.03506325087474615,5732,"Seattle MD<br>2013: 169.2k, 3.5%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2014,168010,-0.00708004349676139,-1198,"Seattle MD<br>2014: 168.0k, -0.7%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2015,169923,0.0113862270102969,1913,"Seattle MD<br>2015: 169.9k, 1.1%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2016,168595,-0.00781530457913293,-1328,"Seattle MD<br>2016: 168.6k, -0.8%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2017,161829,-0.04013167650286187,-6766,"Seattle MD<br>2017: 161.8k, -4.0%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2018,158965,-0.0176976932441033,-2864,"Seattle MD<br>2018: 159.0k, -1.8%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2019,165611,0.04180794514515784,6646,"Seattle MD<br>2019: 165.6k, 4.2%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2020,162862,-0.01659913894608444,-2749,"Seattle MD<br>2020: 162.9k, -1.7%"
ESD,Seattle MD,31-33,Manufacturing,Mar Employment,2021,137951,-0.15295771880487774,-24911,"Seattle MD<br>2021: 138.0k, -15.3%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2002,162224,NA,NA,NA
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2003,146942,-0.09420307722655095,-15282,"Seattle MD<br>2003: 146.9k, -9.4%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2004,143408,-0.02405030556273901,-3534,"Seattle MD<br>2004: 143.4k, -2.4%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2005,149552,0.04284279817025549,6144,"Seattle MD<br>2005: 149.6k, 4.3%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2006,159107,0.06389082058414464,9555,"Seattle MD<br>2006: 159.1k, 6.4%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2007,165358.41666666666,0.03929064507951674,6251.416666666657,"Seattle MD<br>2007: 165.4k, 3.9%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2008,165838.08333333334,0.00290076959090401,479.66666666668607,"Seattle MD<br>2008: 165.8k, 0.3%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2009,154638,-0.06753625649918571,-11200.083333333345,"Seattle MD<br>2009: 154.6k, -6.8%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2010,149472,-0.03340705389360954,-5166,"Seattle MD<br>2010: 149.5k, -3.3%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2011,157500,0.05370905587668595,8028,"Seattle MD<br>2011: 157.5k, 5.4%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2012,166226,0.05540317460317467,8726,"Seattle MD<br>2012: 166.2k, 5.5%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2013,169402,0.01910651763262061,3176,"Seattle MD<br>2013: 169.4k, 1.9%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2014,168878,-0.00309323384611748,-524,"Seattle MD<br>2014: 168.9k, -0.3%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2015,169837,0.00567865559753189,959,"Seattle MD<br>2015: 169.8k, 0.6%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2016,167257,-0.01519103611109473,-2580,"Seattle MD<br>2016: 167.3k, -1.5%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2017,160519,-0.04028530943398478,-6738,"Seattle MD<br>2017: 160.5k, -4.0%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2018,160610,5.669110821771017e-4,91,"Seattle MD<br>2018: 160.6k, 0.1%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2019,165878,0.032799950189901,5268,"Seattle MD<br>2019: 165.9k, 3.3%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2020,151262,-0.08811295048167933,-14616,"Seattle MD<br>2020: 151.3k, -8.8%"
ESD,Seattle MD,31-33,Manufacturing,Average Annual Employment,2021,138079,-0.08715341592733139,-13183,"Seattle MD<br>2021: 138.1k, -8.7%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2000,193005,NA,NA,NA
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2001,184030,-0.04650138597445663,-8975,"Seattle MD<br>2001: 184.0k, -4.7%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2002,165765,-0.0992501222626746,-18265,"Seattle MD<br>2002: 165.8k, -9.9%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2003,149514,-0.09803637679847976,-16251,"Seattle MD<br>2003: 149.5k, -9.8%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2004,142261,-0.04851050737723561,-7253,"Seattle MD<br>2004: 142.3k, -4.9%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2005,150371,0.05700789394141759,8110,"Seattle MD<br>2005: 150.4k, 5.7%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2006,156394,0.04005426578263105,6023,"Seattle MD<br>2006: 156.4k, 4.0%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2007,163346,0.0444518331905317,6952,"Seattle MD<br>2007: 163.3k, 4.4%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2008,167999,0.0284855460188802,4653,"Seattle MD<br>2008: 168.0k, 2.8%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2009,157454,-0.06276823076327831,-10545,"Seattle MD<br>2009: 157.5k, -6.3%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2010,148125,-0.05924905051634133,-9329,"Seattle MD<br>2010: 148.1k, -5.9%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2011,153232,0.03447763713080176,5107,"Seattle MD<br>2011: 153.2k, 3.4%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2012,163491,0.06695076746371509,10259,"Seattle MD<br>2012: 163.5k, 6.7%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2013,169202,0.03493158644818361,5711,"Seattle MD<br>2013: 169.2k, 3.5%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2014,167926,-0.00754128201794301,-1276,"Seattle MD<br>2014: 167.9k, -0.8%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2015,169923,0.01189214296773588,1997,"Seattle MD<br>2015: 169.9k, 1.2%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2016,168594,-0.00782118959764133,-1329,"Seattle MD<br>2016: 168.6k, -0.8%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2017,161830,-0.04012005172188804,-6764,"Seattle MD<br>2017: 161.8k, -4.0%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2018,158966,-0.01769758388432307,-2864,"Seattle MD<br>2018: 159.0k, -1.8%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2019,165611,0.04180139149252038,6645,"Seattle MD<br>2019: 165.6k, 4.2%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2020,162862,-0.01659913894608444,-2749,"Seattle MD<br>2020: 162.9k, -1.7%"
PSRC,Seattle MD,31-33,Manufacturing,Mar Employment,2021,137952,-0.15295157863712838,-24910,"Seattle MD<br>2021: 138.0k, -15.3%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2002,203107,NA,NA,NA
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2003,200146,-0.01457852265062253,-2961,"Seattle MD<br>2003: 200.1k, -1.5%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2004,200320,8.693653632847465e-4,174,"Seattle MD<br>2004: 200.3k, 0.1%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2005,202247,0.00961960862619815,1927,"Seattle MD<br>2005: 202.2k, 1.0%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2006,205495,0.01605957072292785,3248,"Seattle MD<br>2006: 205.5k, 1.6%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2007,209403,0.01901749434292798,3908,"Seattle MD<br>2007: 209.4k, 1.9%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2008,214070,0.0222871687607149,4667,"Seattle MD<br>2008: 214.1k, 2.2%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2009,201450,-0.05895267903022372,-12620,"Seattle MD<br>2009: 201.4k, -5.9%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2010,195438,-0.02984363365599407,-6012,"Seattle MD<br>2010: 195.4k, -3.0%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2011,198345,0.01487428238111321,2907,"Seattle MD<br>2011: 198.3k, 1.5%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2012,203851,0.02775971161360257,5506,"Seattle MD<br>2012: 203.9k, 2.8%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2013,212155,0.04073563534149938,8304,"Seattle MD<br>2013: 212.2k, 4.1%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2014,221854,0.0457165751455304,9699,"Seattle MD<br>2014: 221.9k, 4.6%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2015,230350,0.03829545556987934,8496,"Seattle MD<br>2015: 230.4k, 3.8%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2016,236800,0.02800086824397651,6450,"Seattle MD<br>2016: 236.8k, 2.8%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2017,249023,0.05161739864864856,12223,"Seattle MD<br>2017: 249.0k, 5.2%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2018,257909,0.0356834509262196,8886,"Seattle MD<br>2018: 257.9k, 3.6%"
ESD,Seattle MD,"42, 44-45",Retail and Wholesale Trade,Mar Employment,2019,261548,0.01410962781446167,3639,"Seattle MD<br>2019: 261.5k, 1.4%"
