yearm,var_code,area_code,var_stub,data_survey,seas,measure,value,area_label,data_survey_label,data_survey_type,data_survey_type_label,hover_label
Jun 1990,US_N_CES_SA,US,N,CES,SA,dmm,17,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1990</b>, United States, <b>CES SA</b><br>17.0"
Jul 1990,US_N_CES_SA,US,N,CES,SA,lvl,109824,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1990</b>, United States, <b>CES SA</b><br>109 824.0"
Jul 1990,US_N_CES_SA,US,N,CES,SA,dmm,-32,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1990</b>, United States, <b>CES SA</b><br>-32.0"
Aug 1990,US_N_CES_SA,US,N,CES,SA,lvl,109616,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1990</b>, United States, <b>CES SA</b><br>109 616.0"
Aug 1990,US_N_CES_SA,US,N,CES,SA,dmm,-208,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1990</b>, United States, <b>CES SA</b><br>-208.0"
Sep 1990,US_N_CES_SA,US,N,CES,SA,lvl,109518,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1990</b>, United States, <b>CES SA</b><br>109 518.0"
Sep 1990,US_N_CES_SA,US,N,CES,SA,dmm,-98,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1990</b>, United States, <b>CES SA</b><br>-98.0"
Oct 1990,US_N_CES_SA,US,N,CES,SA,lvl,109367,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1990</b>, United States, <b>CES SA</b><br>109 367.0"
Oct 1990,US_N_CES_SA,US,N,CES,SA,dmm,-151,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1990</b>, United States, <b>CES SA</b><br>-151.0"
Nov 1990,US_N_CES_SA,US,N,CES,SA,lvl,109214,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1990</b>, United States, <b>CES SA</b><br>109 214.0"
Nov 1990,US_N_CES_SA,US,N,CES,SA,dmm,-153,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1990</b>, United States, <b>CES SA</b><br>-153.0"
Dec 1990,US_N_CES_SA,US,N,CES,SA,lvl,109166,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1990</b>, United States, <b>CES SA</b><br>109 166.0"
Dec 1990,US_N_CES_SA,US,N,CES,SA,dmm,-48,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1990</b>, United States, <b>CES SA</b><br>-48.0"
Jan 1991,US_N_CES_SA,US,N,CES,SA,lvl,109055,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1991</b>, United States, <b>CES SA</b><br>109 055.0"
Jan 1991,US_N_CES_SA,US,N,CES,SA,dmm,-111,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1991</b>, United States, <b>CES SA</b><br>-111.0"
Feb 1991,US_N_CES_SA,US,N,CES,SA,lvl,108734,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1991</b>, United States, <b>CES SA</b><br>108 734.0"
Feb 1991,US_N_CES_SA,US,N,CES,SA,dmm,-321,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1991</b>, United States, <b>CES SA</b><br>-321.0"
Mar 1991,US_N_CES_SA,US,N,CES,SA,lvl,108574,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1991</b>, United States, <b>CES SA</b><br>108 574.0"
Mar 1991,US_N_CES_SA,US,N,CES,SA,dmm,-160,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1991</b>, United States, <b>CES SA</b><br>-160.0"
Apr 1991,US_N_CES_SA,US,N,CES,SA,lvl,108364,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1991</b>, United States, <b>CES SA</b><br>108 364.0"
Apr 1991,US_N_CES_SA,US,N,CES,SA,dmm,-210,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1991</b>, United States, <b>CES SA</b><br>-210.0"
May 1991,US_N_CES_SA,US,N,CES,SA,lvl,108249,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1991</b>, United States, <b>CES SA</b><br>108 249.0"
May 1991,US_N_CES_SA,US,N,CES,SA,dmm,-115,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1991</b>, United States, <b>CES SA</b><br>-115.0"
Jun 1991,US_N_CES_SA,US,N,CES,SA,lvl,108334,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1991</b>, United States, <b>CES SA</b><br>108 334.0"
Jun 1991,US_N_CES_SA,US,N,CES,SA,dmm,85,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1991</b>, United States, <b>CES SA</b><br>85.0"
Jul 1991,US_N_CES_SA,US,N,CES,SA,lvl,108292,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1991</b>, United States, <b>CES SA</b><br>108 292.0"
Jul 1991,US_N_CES_SA,US,N,CES,SA,dmm,-42,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1991</b>, United States, <b>CES SA</b><br>-42.0"
Aug 1991,US_N_CES_SA,US,N,CES,SA,lvl,108310,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1991</b>, United States, <b>CES SA</b><br>108 310.0"
Aug 1991,US_N_CES_SA,US,N,CES,SA,dmm,18,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1991</b>, United States, <b>CES SA</b><br>18.0"
Sep 1991,US_N_CES_SA,US,N,CES,SA,lvl,108336,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1991</b>, United States, <b>CES SA</b><br>108 336.0"
Sep 1991,US_N_CES_SA,US,N,CES,SA,dmm,26,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1991</b>, United States, <b>CES SA</b><br>26.0"
Oct 1991,US_N_CES_SA,US,N,CES,SA,lvl,108357,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1991</b>, United States, <b>CES SA</b><br>108 357.0"
Oct 1991,US_N_CES_SA,US,N,CES,SA,dmm,21,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1991</b>, United States, <b>CES SA</b><br>21.0"
Nov 1991,US_N_CES_SA,US,N,CES,SA,lvl,108296,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1991</b>, United States, <b>CES SA</b><br>108 296.0"
Nov 1991,US_N_CES_SA,US,N,CES,SA,dmm,-61,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1991</b>, United States, <b>CES SA</b><br>-61.0"
Dec 1991,US_N_CES_SA,US,N,CES,SA,lvl,108328,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1991</b>, United States, <b>CES SA</b><br>108 328.0"
Dec 1991,US_N_CES_SA,US,N,CES,SA,dmm,32,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1991</b>, United States, <b>CES SA</b><br>32.0"
Jan 1992,US_N_CES_SA,US,N,CES,SA,lvl,108369,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1992</b>, United States, <b>CES SA</b><br>108 369.0"
Jan 1992,US_N_CES_SA,US,N,CES,SA,dmm,41,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1992</b>, United States, <b>CES SA</b><br>41.0"
Feb 1992,US_N_CES_SA,US,N,CES,SA,lvl,108311,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1992</b>, United States, <b>CES SA</b><br>108 311.0"
Feb 1992,US_N_CES_SA,US,N,CES,SA,dmm,-58,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1992</b>, United States, <b>CES SA</b><br>-58.0"
Mar 1992,US_N_CES_SA,US,N,CES,SA,lvl,108365,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1992</b>, United States, <b>CES SA</b><br>108 365.0"
Mar 1992,US_N_CES_SA,US,N,CES,SA,dmm,54,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1992</b>, United States, <b>CES SA</b><br>54.0"
Apr 1992,US_N_CES_SA,US,N,CES,SA,lvl,108519,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1992</b>, United States, <b>CES SA</b><br>108 519.0"
Apr 1992,US_N_CES_SA,US,N,CES,SA,dmm,154,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1992</b>, United States, <b>CES SA</b><br>154.0"
May 1992,US_N_CES_SA,US,N,CES,SA,lvl,108649,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1992</b>, United States, <b>CES SA</b><br>108 649.0"
May 1992,US_N_CES_SA,US,N,CES,SA,dmm,130,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1992</b>, United States, <b>CES SA</b><br>130.0"
Jun 1992,US_N_CES_SA,US,N,CES,SA,lvl,108715,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1992</b>, United States, <b>CES SA</b><br>108 715.0"
Jun 1992,US_N_CES_SA,US,N,CES,SA,dmm,66,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1992</b>, United States, <b>CES SA</b><br>66.0"
Jul 1992,US_N_CES_SA,US,N,CES,SA,lvl,108793,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1992</b>, United States, <b>CES SA</b><br>108 793.0"
Jul 1992,US_N_CES_SA,US,N,CES,SA,dmm,78,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1992</b>, United States, <b>CES SA</b><br>78.0"
Aug 1992,US_N_CES_SA,US,N,CES,SA,lvl,108925,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1992</b>, United States, <b>CES SA</b><br>108 925.0"
Aug 1992,US_N_CES_SA,US,N,CES,SA,dmm,132,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1992</b>, United States, <b>CES SA</b><br>132.0"
Sep 1992,US_N_CES_SA,US,N,CES,SA,lvl,108959,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1992</b>, United States, <b>CES SA</b><br>108 959.0"
Sep 1992,US_N_CES_SA,US,N,CES,SA,dmm,34,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1992</b>, United States, <b>CES SA</b><br>34.0"
Oct 1992,US_N_CES_SA,US,N,CES,SA,lvl,109139,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1992</b>, United States, <b>CES SA</b><br>109 139.0"
Oct 1992,US_N_CES_SA,US,N,CES,SA,dmm,180,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1992</b>, United States, <b>CES SA</b><br>180.0"
Nov 1992,US_N_CES_SA,US,N,CES,SA,lvl,109272,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1992</b>, United States, <b>CES SA</b><br>109 272.0"
Nov 1992,US_N_CES_SA,US,N,CES,SA,dmm,133,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1992</b>, United States, <b>CES SA</b><br>133.0"
Dec 1992,US_N_CES_SA,US,N,CES,SA,lvl,109495,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1992</b>, United States, <b>CES SA</b><br>109 495.0"
Dec 1992,US_N_CES_SA,US,N,CES,SA,dmm,223,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1992</b>, United States, <b>CES SA</b><br>223.0"
Jan 1993,US_N_CES_SA,US,N,CES,SA,lvl,109794,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1993</b>, United States, <b>CES SA</b><br>109 794.0"
Jan 1993,US_N_CES_SA,US,N,CES,SA,dmm,299,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1993</b>, United States, <b>CES SA</b><br>299.0"
Feb 1993,US_N_CES_SA,US,N,CES,SA,lvl,110044,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1993</b>, United States, <b>CES SA</b><br>110 044.0"
Feb 1993,US_N_CES_SA,US,N,CES,SA,dmm,250,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1993</b>, United States, <b>CES SA</b><br>250.0"
Mar 1993,US_N_CES_SA,US,N,CES,SA,lvl,109994,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1993</b>, United States, <b>CES SA</b><br>109 994.0"
Mar 1993,US_N_CES_SA,US,N,CES,SA,dmm,-50,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1993</b>, United States, <b>CES SA</b><br>-50.0"
Apr 1993,US_N_CES_SA,US,N,CES,SA,lvl,110296,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1993</b>, United States, <b>CES SA</b><br>110 296.0"
Apr 1993,US_N_CES_SA,US,N,CES,SA,dmm,302,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1993</b>, United States, <b>CES SA</b><br>302.0"
May 1993,US_N_CES_SA,US,N,CES,SA,lvl,110568,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1993</b>, United States, <b>CES SA</b><br>110 568.0"
May 1993,US_N_CES_SA,US,N,CES,SA,dmm,272,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1993</b>, United States, <b>CES SA</b><br>272.0"
Jun 1993,US_N_CES_SA,US,N,CES,SA,lvl,110749,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1993</b>, United States, <b>CES SA</b><br>110 749.0"
Jun 1993,US_N_CES_SA,US,N,CES,SA,dmm,181,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1993</b>, United States, <b>CES SA</b><br>181.0"
Jul 1993,US_N_CES_SA,US,N,CES,SA,lvl,111055,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1993</b>, United States, <b>CES SA</b><br>111 055.0"
Jul 1993,US_N_CES_SA,US,N,CES,SA,dmm,306,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1993</b>, United States, <b>CES SA</b><br>306.0"
Aug 1993,US_N_CES_SA,US,N,CES,SA,lvl,111206,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1993</b>, United States, <b>CES SA</b><br>111 206.0"
Aug 1993,US_N_CES_SA,US,N,CES,SA,dmm,151,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1993</b>, United States, <b>CES SA</b><br>151.0"
Sep 1993,US_N_CES_SA,US,N,CES,SA,lvl,111448,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1993</b>, United States, <b>CES SA</b><br>111 448.0"
Sep 1993,US_N_CES_SA,US,N,CES,SA,dmm,242,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1993</b>, United States, <b>CES SA</b><br>242.0"
Oct 1993,US_N_CES_SA,US,N,CES,SA,lvl,111733,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1993</b>, United States, <b>CES SA</b><br>111 733.0"
Oct 1993,US_N_CES_SA,US,N,CES,SA,dmm,285,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1993</b>, United States, <b>CES SA</b><br>285.0"
Nov 1993,US_N_CES_SA,US,N,CES,SA,lvl,111984,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1993</b>, United States, <b>CES SA</b><br>111 984.0"
Nov 1993,US_N_CES_SA,US,N,CES,SA,dmm,251,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1993</b>, United States, <b>CES SA</b><br>251.0"
Dec 1993,US_N_CES_SA,US,N,CES,SA,lvl,112314,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1993</b>, United States, <b>CES SA</b><br>112 314.0"
Dec 1993,US_N_CES_SA,US,N,CES,SA,dmm,330,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1993</b>, United States, <b>CES SA</b><br>330.0"
Jan 1994,US_N_CES_SA,US,N,CES,SA,lvl,112595,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1994</b>, United States, <b>CES SA</b><br>112 595.0"
Jan 1994,US_N_CES_SA,US,N,CES,SA,dmm,281,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1994</b>, United States, <b>CES SA</b><br>281.0"
Feb 1994,US_N_CES_SA,US,N,CES,SA,lvl,112781,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1994</b>, United States, <b>CES SA</b><br>112 781.0"
Feb 1994,US_N_CES_SA,US,N,CES,SA,dmm,186,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1994</b>, United States, <b>CES SA</b><br>186.0"
Mar 1994,US_N_CES_SA,US,N,CES,SA,lvl,113242,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1994</b>, United States, <b>CES SA</b><br>113 242.0"
Mar 1994,US_N_CES_SA,US,N,CES,SA,dmm,461,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1994</b>, United States, <b>CES SA</b><br>461.0"
Apr 1994,US_N_CES_SA,US,N,CES,SA,lvl,113586,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1994</b>, United States, <b>CES SA</b><br>113 586.0"
Apr 1994,US_N_CES_SA,US,N,CES,SA,dmm,344,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1994</b>, United States, <b>CES SA</b><br>344.0"
May 1994,US_N_CES_SA,US,N,CES,SA,lvl,113921,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1994</b>, United States, <b>CES SA</b><br>113 921.0"
May 1994,US_N_CES_SA,US,N,CES,SA,dmm,335,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1994</b>, United States, <b>CES SA</b><br>335.0"
Jun 1994,US_N_CES_SA,US,N,CES,SA,lvl,114238,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1994</b>, United States, <b>CES SA</b><br>114 238.0"
Jun 1994,US_N_CES_SA,US,N,CES,SA,dmm,317,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1994</b>, United States, <b>CES SA</b><br>317.0"
Jul 1994,US_N_CES_SA,US,N,CES,SA,lvl,114610,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1994</b>, United States, <b>CES SA</b><br>114 610.0"
Jul 1994,US_N_CES_SA,US,N,CES,SA,dmm,372,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1994</b>, United States, <b>CES SA</b><br>372.0"
Aug 1994,US_N_CES_SA,US,N,CES,SA,lvl,114896,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1994</b>, United States, <b>CES SA</b><br>114 896.0"
Aug 1994,US_N_CES_SA,US,N,CES,SA,dmm,286,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Aug 1994</b>, United States, <b>CES SA</b><br>286.0"
Sep 1994,US_N_CES_SA,US,N,CES,SA,lvl,115247,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1994</b>, United States, <b>CES SA</b><br>115 247.0"
Sep 1994,US_N_CES_SA,US,N,CES,SA,dmm,351,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Sep 1994</b>, United States, <b>CES SA</b><br>351.0"
Oct 1994,US_N_CES_SA,US,N,CES,SA,lvl,115458,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1994</b>, United States, <b>CES SA</b><br>115 458.0"
Oct 1994,US_N_CES_SA,US,N,CES,SA,dmm,211,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Oct 1994</b>, United States, <b>CES SA</b><br>211.0"
Nov 1994,US_N_CES_SA,US,N,CES,SA,lvl,115869,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1994</b>, United States, <b>CES SA</b><br>115 869.0"
Nov 1994,US_N_CES_SA,US,N,CES,SA,dmm,411,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Nov 1994</b>, United States, <b>CES SA</b><br>411.0"
Dec 1994,US_N_CES_SA,US,N,CES,SA,lvl,116165,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1994</b>, United States, <b>CES SA</b><br>116 165.0"
Dec 1994,US_N_CES_SA,US,N,CES,SA,dmm,296,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Dec 1994</b>, United States, <b>CES SA</b><br>296.0"
Jan 1995,US_N_CES_SA,US,N,CES,SA,lvl,116501,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1995</b>, United States, <b>CES SA</b><br>116 501.0"
Jan 1995,US_N_CES_SA,US,N,CES,SA,dmm,336,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jan 1995</b>, United States, <b>CES SA</b><br>336.0"
Feb 1995,US_N_CES_SA,US,N,CES,SA,lvl,116697,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1995</b>, United States, <b>CES SA</b><br>116 697.0"
Feb 1995,US_N_CES_SA,US,N,CES,SA,dmm,196,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Feb 1995</b>, United States, <b>CES SA</b><br>196.0"
Mar 1995,US_N_CES_SA,US,N,CES,SA,lvl,116907,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1995</b>, United States, <b>CES SA</b><br>116 907.0"
Mar 1995,US_N_CES_SA,US,N,CES,SA,dmm,210,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Mar 1995</b>, United States, <b>CES SA</b><br>210.0"
Apr 1995,US_N_CES_SA,US,N,CES,SA,lvl,117069,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1995</b>, United States, <b>CES SA</b><br>117 069.0"
Apr 1995,US_N_CES_SA,US,N,CES,SA,dmm,162,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Apr 1995</b>, United States, <b>CES SA</b><br>162.0"
May 1995,US_N_CES_SA,US,N,CES,SA,lvl,117049,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1995</b>, United States, <b>CES SA</b><br>117 049.0"
May 1995,US_N_CES_SA,US,N,CES,SA,dmm,-20,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>May 1995</b>, United States, <b>CES SA</b><br>-20.0"
Jun 1995,US_N_CES_SA,US,N,CES,SA,lvl,117286,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1995</b>, United States, <b>CES SA</b><br>117 286.0"
Jun 1995,US_N_CES_SA,US,N,CES,SA,dmm,237,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jun 1995</b>, United States, <b>CES SA</b><br>237.0"
Jul 1995,US_N_CES_SA,US,N,CES,SA,lvl,117380,United States,Establishment survey (thousands of jobs),CES,Establishment survey (thousands of jobs),"<b>Jul 1995</b>, United States, <b>CES SA</b><br>117 380.0"
